Brand,Name,Variant,Type,Lip Condition,Undertone,Ketahanan,Finish Texture,Price
Hanasui,Hanasui Longlasting Next Level Liplast Cream,Girlboss,Lip Cream,"Kering, Dehidrasi",Warm-Shade,High-Stay,Matte,30000
Hanasui,Hanasui Longlasting Next Level Liplast Cream,Queen Bee,Lip Cream,"Kering, Dehidrasi",Cool-Shade,High-Stay,Matte,30000
Hanasui,Hanasui Longlasting Next Level Liplast Cream,Her Rules,Lip Cream,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Matte,30000
Hanasui,Hanasui Longlasting Next Level Liplast Cream,Leadher,Lip Cream,"Kering, Dehidrasi",Neutral-Shade,High-Stay,Matte,30000
Hanasui,Hanasui Longlasting Next Level Liplast Cream,Presdear,Lip Cream,"Kering, Dehidrasi",Warm-Shade,High-Stay,Matte,30000
Hanasui,Hanasui Longlasting Next Level Liplast Cream,She-EO,Lip Cream,"Kering, Dehidrasi",Warm-Shade,High-Stay,Matte,30000
Hanasui,Hanasui Longlasting Next Level Liplast Cream,Datgirl,Lip Cream,"Kering, Dehidrasi","Neutral-Shade, Cool-Shade",High-Stay,Matte,30000
Hanasui,Hanasui Longlasting Next Level Liplast Cream,Showgirl,Lip Cream,"Kering, Dehidrasi",Warm-Shade,High-Stay,Matte,30000
Hanasui,Hanasui Longlasting Next Level Liplast Cream,Whooman,Lip Cream,"Kering, Dehidrasi",Neutral-Shade,High-Stay,Matte,30000
Hanasui,Hanasui Longlasting Next Level Liplast Cream,Masther,Lip Cream,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Matte,30000
Hanasui,Lip Cream Hanasui Mattedorable Lipcream,Kiss,Lip Cream,Normal,"Warm-Shade, Neutral-Shade",High-Stay,Matte,26500
Hanasui,Lip Cream Hanasui Mattedorable Lipcream,Posh,Lip Cream,Normal,Cool-Shade,High-Stay,Matte,26500
Hanasui,Lip Cream Hanasui Mattedorable Lipcream,Star,Lip Cream,Normal,Cool-Shade,High-Stay,Matte,26500
Hanasui,Lip Cream Hanasui Mattedorable Lipcream,Chic,Lip Cream,Normal,"Warm-Shade, Neutral-Shade",High-Stay,Matte,26500
Hanasui,Lip Cream Hanasui Mattedorable Lipcream,Classy,Lip Cream,Normal,"Warm-Shade, Neutral-Shade",High-Stay,Matte,26500
Hanasui,Lip Cream Hanasui Mattedorable Lipcream,Ritz,Lip Cream,Normal,Warm-Shade,High-Stay,Matte,26500
Hanasui,Lip Cream Hanasui Mattedorable Lipcream,Spark,Lip Cream,Normal,"Neutral-Shade, Cool-Shade",High-Stay,Matte,26500
Hanasui,Lip Cream Hanasui Mattedorable Lipcream,Fancy,Lip Cream,Normal,"Warm-Shade, Neutral-Shade",High-Stay,Matte,26500
